name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
\src\main\org\apache\tools\ant\util\KeepAliveOutputStream.java,1,1,1,1,7,0,2,5,1,5,84,7,21,11,4,56,0,15,11,4,0,0,0,0,1,1,1,0,2.67,5,5,5,5
\src\main\org\apache\tools\ant\taskdefs\condition\IsFalse.java,2,2,2,1,8,0,4,4,1,2,55,7,15,7,5,33,0,11,7,4,0,0,0,0,2,2,1,1,2.2,4,4,4,2
\src\main\org\apache\tools\ant\util\ChainedMapper.java,6,6,6,1,25,2,22,1,1,1,60,7,29,11,16,24,0,24,13,11,0,0,0,0,6,6,1,4,0.83,6,6,6,1
\src\main\org\apache\tools\ant\types\ResourceFactory.java,1,1,1,1,10,0,1,9,1,1,38,2,4,3,0,32,0,3,3,0,0,0,0,0,1,1,1,0,8,1,1,1,1
\src\main\org\apache\tools\ant\util\FileUtils.java,2,2,3,1,22,0,9,12,3,66,1641,96,647,221,368,900,0,429,188,241,0,0,0,0,10,10,5,3,1.39,156,156,193,83
\src\main\org\apache\tools\ant\taskdefs\cvslib\RedirectingStreamHandler.java,2,2,2,1,8,0,7,0,1,3,60,8,30,12,13,22,0,19,10,9,0,0,0,0,2,2,1,1,0.73,5,5,5,3
\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirror.java,1,1,1,1,1,0,1,0,1,1,25,3,5,4,0,17,0,4,4,0,0,0,0,0,1,1,1,0,3.4,1,1,1,1
\src\tests\junit\org\apache\tools\ant\taskdefs\TypedefTest.java,1,1,1,1,4,0,3,0,1,12,87,15,49,17,21,23,0,33,17,16,0,0,0,0,1,1,1,0,0.47,12,12,12,12
\src\main\org\apache\tools\ant\types\resources\Union.java,2,2,2,1,9,0,5,4,1,10,138,14,63,25,26,61,0,48,27,21,0,0,0,0,5,5,1,3,0.97,17,17,17,10
\src\tests\junit\org\apache\tools\ant\types\CommandlineJavaTest.java,2,2,2,1,19,0,17,1,1,7,180,19,130,32,100,31,0,109,34,75,0,0,0,0,4,4,1,2,0.24,13,13,13,7
\src\tests\junit\org\apache\tools\ant\taskdefs\optional\RhinoReferenceTest.java,1,1,1,1,4,0,3,1,1,3,44,5,14,6,4,25,0,9,6,3,0,0,0,0,1,1,1,0,1.79,3,3,3,3
\src\main\org\apache\tools\ant\taskdefs\DiagnosticsTask.java,1,1,1,1,8,0,3,5,1,1,41,5,10,7,2,26,0,8,7,1,0,0,0,0,1,1,1,0,2.6,1,1,1,1
\src\main\org\apache\tools\ant\types\resources\selectors\Date.java,2,2,2,1,9,0,5,4,1,11,162,16,76,32,38,70,0,50,30,20,0,0,0,0,7,7,1,3,0.92,18,18,19,11
\src\main\org\apache\tools\ant\types\selectors\modifiedselector\HashvalueAlgorithm.java,2,2,2,2,12,0,7,5,1,3,79,8,28,11,13,43,0,20,11,9,0,0,0,0,3,3,3,2,1.54,5,5,5,5
\src\main\org\apache\tools\ant\taskdefs\Antlib.java,3,3,3,1,19,0,13,5,1,6,181,15,103,41,58,63,0,74,37,37,0,0,0,0,6,6,3,3,0.61,15,15,15,8
\src\main\org\apache\tools\ant\taskdefs\rmic\RmicAdapterFactory.java,3,3,3,2,23,0,9,14,1,4,141,12,47,20,24,82,0,30,15,15,0,0,0,0,8,8,6,1,1.74,12,12,13,9
\src\main\org\apache\tools\ant\util\SplitClassLoader.java,3,3,3,2,11,0,10,1,1,3,73,7,38,13,18,28,0,27,12,15,0,0,0,0,4,4,3,2,0.74,8,8,9,7
\src\main\org\apache\tools\ant\types\resources\ArchiveResource.java,2,2,2,1,11,0,6,4,1,21,293,25,156,39,84,112,0,108,38,70,0,0,0,0,6,6,4,2,0.72,44,44,46,24
\src\main\org\apache\tools\ant\taskdefs\Mkdir.java,3,3,3,2,17,0,12,4,1,3,98,10,45,14,25,43,0,29,13,16,0,0,0,0,5,5,3,2,0.96,9,9,9,5
\src\main\org\apache\tools\ant\AntClassLoader.java,3,3,3,2,21,0,10,10,2,64,1587,105,760,222,459,728,0,513,207,306,0,0,0,0,12,12,9,4,0.96,183,183,198,98
\src\main\org\apache\tools\ant\types\selectors\SignedSelector.java,2,2,2,1,12,0,5,7,1,2,58,4,18,8,7,37,0,14,8,6,0,0,0,0,2,2,1,1,2.06,3,3,3,2
\src\main\org\apache\tools\ant\property\ParseNextProperty.java,1,1,1,1,6,0,1,5,1,2,44,4,7,6,0,33,0,6,6,0,0,0,0,0,1,1,1,0,4.71,2,2,2,2
\src\main\org\apache\tools\ant\util\java15\ProxyDiagnostics.java,3,3,3,1,18,0,14,4,1,3,108,10,59,26,33,40,0,47,26,21,0,0,0,0,5,5,1,4,0.68,8,8,8,3
\src\main\org\apache\tools\ant\DynamicElement.java,1,1,1,1,8,0,1,7,1,1,36,3,4,3,0,29,0,3,3,0,0,0,0,0,1,1,1,0,7.25,1,1,1,1
\src\main\org\apache\tools\ant\types\resources\ContentTransformingResource.java,2,2,2,2,12,0,7,5,2,10,173,15,81,29,42,77,0,53,27,26,0,0,0,0,5,5,4,3,0.95,20,20,20,15
\src\main\org\apache\tools\ant\util\ConcatResourceInputStream.java,2,2,2,1,9,0,6,3,1,10,147,15,78,28,37,54,0,58,28,30,0,0,0,0,5,5,4,3,0.69,19,19,20,13
\src\tests\junit\org\apache\tools\ant\taskdefs\optional\ANTLRTest.java,1,1,1,1,4,0,3,1,3,21,165,25,85,30,34,55,0,61,30,31,0,0,0,0,1,1,1,0,0.65,21,21,21,21
\src\main\org\apache\tools\ant\ComponentHelper.java,2,2,3,1,17,0,11,6,2,54,1145,81,662,194,442,405,0,496,198,298,0,0,0,0,17,17,4,3,0.61,133,133,142,72
\src\main\org\apache\tools\ant\taskdefs\Apt.java,1,1,1,1,8,0,3,4,2,22,267,29,105,51,36,133,0,73,46,27,0,0,0,0,2,2,1,1,1.27,25,25,25,22
\src\main\org\apache\tools\ant\taskdefs\optional\extension\JarLibAvailableTask.java,3,3,3,1,16,0,10,5,1,6,156,14,76,34,39,66,0,58,33,25,0,0,0,0,7,7,1,4,0.87,17,17,20,6
\src\tests\junit\org\apache\tools\ant\taskdefs\condition\EqualsTest.java,1,1,1,1,8,1,7,0,1,3,56,10,25,8,15,21,0,21,8,13,0,0,0,0,1,1,1,0,0.84,3,3,3,3
\src\main\org\apache\tools\ant\taskdefs\SQLExec.java,3,3,3,1,15,0,9,5,4,51,1140,109,586,166,342,446,0,408,164,244,0,0,0,0,23,23,7,7,0.76,138,138,157,63
\src\main\org\apache\tools\ant\taskdefs\optional\j2ee\ServerDeploy.java,1,1,1,1,9,0,4,5,1,8,152,18,43,19,16,91,0,33,20,13,0,0,0,0,2,2,1,1,2.12,9,9,9,8
\src\etc\testcases\core\containersrc\test\SpecialSeq.java,2,2,2,1,7,0,5,2,1,4,67,8,32,16,11,27,0,26,17,9,0,0,0,0,3,3,1,1,0.84,6,6,7,4
\src\main\org\apache\tools\ant\taskdefs\MakeUrl.java,2,2,2,1,15,0,9,6,1,13,297,28,140,55,80,129,0,111,56,55,0,0,0,0,6,6,1,2,0.92,28,28,31,13
\src\main\org\apache\tools\ant\types\Parameter.java,1,1,1,1,8,0,3,5,1,6,82,7,24,11,9,51,0,17,11,6,0,0,0,0,1,1,1,0,2.12,6,6,6,6
\src\main\org\apache\tools\ant\taskdefs\Ant.java,3,3,3,1,18,0,11,6,4,36,842,84,453,128,282,305,0,304,124,180,0,0,0,0,22,22,7,4,0.67,99,99,110,44
\src\main\org\apache\tools\ant\types\Assertions.java,2,2,2,1,12,0,6,5,4,20,366,36,151,52,81,179,0,115,52,63,0,0,0,0,5,5,1,2,1.19,37,37,39,20
\src\main\org\apache\tools\ant\taskdefs\RecorderEntry.java,2,2,2,1,10,0,5,4,1,26,366,48,169,53,87,149,0,118,54,64,0,0,0,0,5,5,1,3,0.88,45,45,50,26
\src\tests\junit\org\apache\tools\ant\taskdefs\optional\XsltTest.java,1,1,1,1,5,0,3,2,1,10,104,18,40,14,15,46,0,26,14,12,0,0,0,0,2,2,1,1,1.15,11,11,11,10
\src\tests\junit\org\apache\tools\ant\taskdefs\AntlibTest.java,1,1,1,1,4,0,3,0,3,11,94,16,50,19,15,28,0,33,19,14,0,0,0,0,2,2,1,1,0.56,14,14,15,11
\src\main\org\apache\tools\ant\PropertyHelper.java,2,2,2,1,17,0,7,10,8,53,1204,86,442,124,241,676,0,297,124,173,0,0,0,0,8,8,5,3,1.53,110,110,124,76
\src\tests\junit\org\apache\tools\ant\taskdefs\SleepTest.java,1,1,2,1,4,0,4,0,2,12,111,20,68,26,38,23,0,58,26,32,0,0,0,0,2,2,1,1,0.34,17,17,18,12
\src\main\org\apache\tools\ant\UnknownElement.java,3,3,3,1,19,0,11,7,1,31,687,54,371,93,232,263,0,251,83,168,0,0,0,0,13,13,13,5,0.71,87,87,90,45
\src\main\org\apache\tools\ant\util\regexp\JakartaRegexpMatcher.java,2,2,2,1,13,0,6,6,1,9,161,16,68,26,32,77,0,49,24,25,0,0,0,0,4,4,1,2,1.13,16,16,16,9
\src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\StringCPInfo.java,1,1,1,1,9,0,3,5,1,4,74,9,21,9,7,44,0,15,9,6,0,0,0,0,1,1,1,0,2.1,4,4,4,4
\src\main\org\apache\tools\ant\types\resources\comparators\DelegatedResourceComparator.java,4,4,5,2,16,0,12,4,1,5,125,9,71,19,37,45,0,51,20,31,0,0,0,0,6,6,4,4,0.63,21,21,24,8
\src\main\org\apache\tools\ant\helper\IgnoreDependenciesExecutor.java,4,4,4,1,14,0,13,1,1,2,70,8,35,14,17,27,0,26,14,12,0,0,0,0,6,6,1,3,0.77,7,7,7,2
\src\main\org\apache\tools\ant\types\selectors\modifiedselector\DigestAlgorithm.java,3,3,3,2,17,0,12,4,1,6,205,30,91,31,58,84,0,68,30,38,0,0,0,0,7,7,4,4,0.92,17,17,20,9
\src\main\org\apache\tools\ant\types\selectors\modifiedselector\Algorithm.java,1,1,1,1,5,0,1,4,1,2,48,7,6,5,0,35,0,5,5,0,0,0,0,0,1,1,1,0,5.83,2,2,2,2
\src\tests\junit\org\apache\tools\ant\util\LayoutPreservingPropertiesTest.java,1,1,1,1,24,3,18,2,1,11,307,56,209,81,176,42,0,175,72,103,0,0,0,0,1,1,1,0,0.2,11,11,11,11
\src\tests\junit\org\apache\tools\ant\taskdefs\dir1\B.java,1,1,1,1,3,0,3,0,1,1,30,3,10,4,3,17,0,6,3,3,0,0,0,0,1,1,1,0,1.7,1,1,1,1
\src\main\org\apache\tools\ant\taskdefs\optional\Native2Ascii.java,2,2,2,1,12,0,7,5,2,20,326,37,167,62,86,131,0,115,59,56,0,0,0,0,9,9,1,2,0.78,37,37,40,20
\src\main\org\apache\tools\ant\taskdefs\optional\net\RExecTask.java,2,2,3,1,14,0,9,5,5,24,477,35,250,72,146,192,0,166,69,97,0,0,0,0,12,12,1,5,0.77,57,57,72,24
\src\main\org\apache\tools\ant\types\selectors\modifiedselector\ModifiedSelector.java,2,2,2,1,14,0,8,6,4,43,973,140,398,132,244,435,0,280,129,151,0,0,0,0,18,18,4,2,1.09,98,98,99,48
\src\main\org\apache\tools\ant\taskdefs\compilers\AptCompilerAdapter.java,3,3,3,2,24,1,15,8,1,4,189,17,75,33,47,97,0,57,31,26,0,0,0,0,7,7,3,2,1.29,12,12,12,6
\src\main\org\apache\tools\ant\taskdefs\AntlibDefinition.java,2,2,2,1,10,0,4,6,1,4,81,8,26,11,9,47,0,19,11,8,0,0,0,0,3,3,1,1,1.81,6,6,6,4
\src\main\org\apache\tools\ant\taskdefs\condition\Xor.java,2,2,2,1,17,0,9,8,1,1,49,5,14,8,6,30,0,11,8,3,0,0,0,0,2,2,1,1,2.14,2,2,2,1
\src\main\org\apache\tools\ant\taskdefs\optional\native2ascii\SunNative2Ascii.java,3,3,3,2,15,0,13,2,1,2,70,5,36,16,19,29,0,23,14,9,0,0,0,0,4,4,3,2,0.81,6,6,6,4
\src\main\org\apache\tools\ant\taskdefs\optional\perforce\SimpleP4OutputHandler.java,4,4,5,1,27,1,11,15,1,2,96,9,30,8,15,59,0,20,8,12,0,0,0,0,7,7,1,2,1.97,8,8,10,2
\src\main\org\apache\tools\ant\taskdefs\optional\junit\FormatterElement.java,2,2,2,1,13,0,7,5,2,18,357,33,169,59,87,156,0,111,53,58,0,0,0,0,14,14,1,3,0.92,38,38,41,18
\src\main\org\apache\tools\ant\taskdefs\optional\clearcase\CCMklbtype.java,2,2,2,1,11,0,5,6,1,23,440,44,145,50,79,251,0,104,50,54,0,0,0,0,8,8,1,2,1.73,36,36,37,23
\src\main\org\apache\tools\ant\util\RetryHandler.java,3,3,3,2,18,0,12,6,1,2,74,7,32,10,18,35,0,21,10,11,0,0,0,0,4,4,3,3,1.09,5,5,6,4
\src\tests\junit\org\apache\tools\ant\taskdefs\PreSetDefTest.java,1,1,1,1,3,0,3,0,3,18,117,20,72,28,24,26,0,48,28,20,0,0,0,0,2,2,1,1,0.36,19,19,19,18
\src\tests\junit\org\apache\tools\ant\filters\ConcatFilterTest.java,1,1,1,1,5,0,4,1,1,13,154,26,93,36,50,35,0,53,32,21,0,0,0,0,2,2,1,1,0.38,14,14,14,13
\src\tests\junit\org\apache\tools\ant\taskdefs\SyncTest.java,1,1,1,1,6,0,6,0,1,16,136,19,100,35,64,17,0,81,35,46,0,0,0,0,1,1,1,0,0.17,16,16,16,16
\src\main\org\apache\tools\ant\types\optional\image\ColorMapper.java,8,8,9,8,20,0,16,3,1,2,104,6,53,21,44,45,0,49,21,28,0,0,0,0,14,14,14,1,0.85,15,15,18,15
\src\tests\junit\org\apache\tools\ant\types\selectors\MockCache.java,1,1,1,1,3,0,3,0,1,10,68,9,42,16,17,18,0,32,16,16,0,0,0,0,2,2,1,1,0.43,11,11,11,10
\src\main\org\apache\tools\ant\taskdefs\UpToDate.java,2,2,3,1,15,0,9,5,1,13,276,28,153,50,87,95,0,100,50,50,0,0,0,0,12,12,1,2,0.62,31,31,39,13
\src\tests\junit\org\example\junit\MultilineAsserts.java,1,1,1,1,1,0,1,0,1,4,27,2,8,7,4,17,0,11,7,4,0,0,0,0,1,1,1,0,2.12,4,4,4,4
\src\main\org\apache\tools\ant\taskdefs\ConditionTask.java,2,2,2,1,11,0,5,5,1,7,130,10,51,18,25,69,0,37,18,19,0,0,0,0,6,6,1,1,1.35,12,12,12,7
\src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Edit.java,2,2,2,1,10,0,6,4,1,2,73,8,17,6,7,48,0,12,6,6,0,0,0,0,3,3,1,1,2.82,4,4,4,2
